Constituent ID,Artist Display Name,Artist ULAN ID,Artist Wikidata ID
100679,Angilbert Göbel,500006783,Q44281350
100680,Chambers and Sons,,
100681,Carl Barth,,
100682,E. Hodson,,
100687,James Watson,500007231,Q12072573
100688,Nicolas Chaperon,500121166,Q2476960
100689,Richard Taylor,,
100690,Sangallo family,500060101,
100691,Thomas O'Brien and Co.,,
100692,Britton,,
100693,Allbut and Daniel,,
100694,Thomas Riley,,
100695,Gaunt,,
100696,Waterlows,,
100697,John Peltro,,
100698,J. de Fleury,,
100701,Philip Palmer,,
100702,Walter John Pearce,,
100703,"Bell and Bain, Limited",,
100704,W. N. Horton,,
100705,F. Scott Mitchell,,
100706,W. Smart,,
100707,Ernest Howard,,
100708,"W. G. Sutherland, Junior",,
100709,Hemerick,,
100710,John Sparkes Esq.,,
100711,Lewis Foreman Day,,
100712,I. Moyr-Smith,,
100713,F. Miles,,
100714,W. D. Hornsey,,
100716,John Dando Sedding,,
100717,William Gorman and Co.,,
100718,H. Payne,,
100719,Blake,,
10072,William Burges,500028285,Q186265
100720,B. McMillan,,
100722,James Joshua Neele,,
100725,Standidge and Co.,,
100726,"Orford Smith, Limited",,
100727,Brodie and Middleton,,
100728,Ford and Shapland,,
100731,Warehousemen and Drapers' Trade Journal,,
100732,de Chauvelin,,
100733,"McCorquodale and Co, Ltd.",,
100734,Jean Raoux,500010538,Q444636
100735,"Henderson, Rait, and Fenton",,
100736,R. Hackett,,
100737,Knight and Lacey,,
100738,T. C. Hansard,,
100739,John June,,
100740,Brodsky Center for Innovative Editions,,
100741,Martinez,,
100745,Johann Michael Feichtmayr,500020226,
100746,Randy Hemminghaus,,
100749,Johann Georg Dirr,,Q1693798
100750,Niccolo da Poggibonsi,,
100751,Noe Bianchi,,
100752,Zoan Andrea,,
100753,John Neale,,
100754,Parker & Clover,,
100755,John Wood,,
100756,J. Wood and W. Rollinson,,
100757,Ch. F. Autenrieth,,
100759,E. A. C. Pelletier,,
100764,James Van Valkenburgh,,
100765,Doty and Bergen,,
100766,Peter C. Smith,,
100767,Charles S. Humphreys,500023937,Q21408649
100768,W. D. Simmons,,
100769,Moses Swett,500032488,
100771,Elijah Chapman Kellogg,,
100772,Horace Thayer & Co.,,
100773,Henry Popple,,
100775,Alfred M. Hoffy,500002463,
100778,George T. Sandford,,
100779,Charlotte Bonaparte,500354823,Q262788
100781,H. E. Coats and Cosine,,
100782,George W. Hatch,500073828,Q53502304
100783,Burton and Whittock,,
100785,"Danforth, Wright and Co.",,
100786,Kimmel and Forster,,
100787,John Rapkin,,
100788,Louis Lebreton,500033181,
100789,Louis William Juchardt,,
100790,Deutz Brothers,,
100791,George Degen,,
